Gene_ID	Overall_Importance Score
4820_at	0.085224141
8666_at	0.085043444
3482_at	0.084818294
9601_at	0.084766781
56344_at	0.084700272
2064_at	0.084613047
57710_at	0.08433656
4001_at	0.084292997
493_at	0.084292997
57113_at	0.084292997
55695_at	0.084122536
3708_at	0.083944499
5768_at	0.083944499
4117_at	0.083829485
30827_at	0.08375837
64102_at	0.083688571
11027_at	0.083589502
2697_at	0.083589502
261734_at	0.083563583
127703_at	0.08335952
26121_at	0.08335952
4175_at	0.08335952
55211_at	0.08335952
23239_at	0.083328714
10449_at	0.083176714
55319_at	0.083176714
2639_at	0.083145503
8720_at	0.082920786
3008_at	0.082796045
55313_at	0.082791701
10077_at	0.082684544
2833_at	0.082684544
4297_at	0.082553425
3707_at	0.082435869
3931_at	0.082435869
4174_at	0.082435869
51393_at	0.082435869
687_at	0.082435869
80778_at	0.082435869
9772_at	0.082435869
10640_at	0.08220963
678_at	0.082173752
10007_at	0.081897072
50628_at	0.081897072
9768_at	0.081897072
23644_at	0.081604583
55365_at	0.081594591
1488_at	0.081340929
6835_at	0.081294888
1317_at	0.080819479
4807_at	0.080807854
11123_at	0.080661055
29080_at	0.080617431
54453_at	0.080617431
29982_at	0.080409921
3689_at	0.080288261
6643_at	0.079899583
998_at	0.079849646
84669_at	0.079681338
81576_at	0.07942604
329_at	0.079177834
5605_at	0.079177834
7355_at	0.079177834
55615_at	0.078972177
54587_at	0.077769196
653639_at	0.076778505
8722_at	0.076778505
1366_at	0.076504296
55759_at	0.075976585
6000_at	0.074584834
10325_at	0.074036416
7704_at	0.072976396
10939_at	0.072737531
1178_at	0.072737531
26249_at	0.072737531
79056_at	0.072737531
